index,cx,cy,dx,dy
a-57.6x-169.2,-57.6,-169.2,1.5E-06,0
a-54x-169.2,-54,-169.2,0,0
a-50.4x-169.2,-50.4,-169.2,-1.5E-06,0
a-46.8x-169.2,-46.8,-169.2,8E-07,0
a-43.2x-169.2,-43.2,-169.2,-8E-07,0
a-39.6x-169.2,-39.6,-169.2,1.5E-06,0
a-36x-169.2,-36,-169.2,0,0
a-32.4x-169.2,-32.4,-169.2,-1.5E-06,0
a-28.8x-169.2,-28.8,-169.2,8E-07,0
a-25.2x-169.2,-25.2,-169.2,-8E-07,0
a-21.6x-169.2,-21.6,-169.2,-4E-07,0
a-18x-169.2,-18,-169.2,0,0
a-14.4x-169.2,-14.4,-169.2,4E-07,0
a-10.8x-169.2,-10.8,-169.2,-2E-07,0
a-7.2x-169.2,-7.2,-169.2,2E-07,0
a-3.6x-169.2,-3.6,-169.2,1E-07,0
a0x-169.2,0,-169.2,0,0
a3.6x-169.2,3.6,-169.2,-1E-07,0
a7.2x-169.2,7.2,-169.2,-2E-07,0
a10.8x-169.2,10.8,-169.2,2E-07,0
a14.4x-169.2,14.4,-169.2,-4E-07,0
a18x-169.2,18,-169.2,0,0
a21.6x-169.2,21.6,-169.2,4E-07,0
a25.2x-169.2,25.2,-169.2,8E-07,0
a28.8x-169.2,28.8,-169.2,-8E-07,0
a32.4x-169.2,32.4,-169.2,1.5E-06,0
a36x-169.2,36,-169.2,0,0
a39.6x-169.2,39.6,-169.2,-1.5E-06,0
a43.2x-169.2,43.2,-169.2,8E-07,0
a46.8x-169.2,46.8,-169.2,-8E-07,0
a50.4x-169.2,50.4,-169.2,1.5E-06,0
a54x-169.2,54,-169.2,0,0
a57.6x-169.2,57.6,-169.2,-1.5E-06,0
a61.2x-169.2,61.2,-169.2,8E-07,0
a64.8x-169.2,64.8,-169.2,3.1E-06,0
a68.4x-169.2,68.4,-169.2,1.5E-06,0
a72x-169.2,72,-169.2,0,0
a75.6x-169.2,75.6,-169.2,-1.5E-06,0
a79.2x-169.2,79.2,-169.2,-3.1E-06,0
a82.8x-169.2,82.8,-169.2,3.1E-06,0
a86.4x-169.2,86.4,-169.2,1.5E-06,0
a90x-169.2,90,-169.2,0,0
a93.6x-169.2,93.6,-169.2,-1.5E-06,0
a97.2x-169.2,97.2,-169.2,-3.1E-06,0
a100.8x-169.2,100.8,-169.2,3.1E-06,0
a104.4x-169.2,104.4,-169.2,1.5E-06,0
a108x-169.2,108,-169.2,0,0
a111.6x-169.2,111.6,-169.2,-1.5E-06,0
a115.2x-169.2,115.2,-169.2,-3.1E-06,0
a118.8x-169.2,118.8,-169.2,3.1E-06,0
a122.4x-169.2,122.4,-169.2,1.5E-06,0
a126x-169.2,126,-169.2,0,0
a129.6x-169.2,129.6,-169.2,6.1E-06,0
a133.2x-169.2,133.2,-169.2,-3.1E-06,0
a136.8x-169.2,136.8,-169.2,3.1E-06,0
a140.4x-169.2,140.4,-169.2,-6.1E-06,0
a144x-169.2,144,-169.2,0,0
a147.6x-169.2,147.6,-169.2,6.1E-06,0
a151.2x-169.2,151.2,-169.2,-3.1E-06,0
a154.8x-169.2,154.8,-169.2,3.1E-06,0
a158.4x-169.2,158.4,-169.2,-6.1E-06,0
a162x-169.2,162,-169.2,0,0
a165.6x-169.2,165.6,-169.2,6.1E-06,0
a169.2x-169.2,169.2,-169.2,-3.1E-06,0
a172.8x-169.2,172.8,-169.2,3.1E-06,0
a176.4x-169.2,176.4,-169.2,-6.1E-06,0
a-180x-165.6,-180,-165.6,0,0
a-176.4x-165.6,-176.4,-165.6,6.1E-06,0
a-172.8x-165.6,-172.8,-165.6,-3.1E-06,0
a-169.2x-165.6,-169.2,-165.6,3.1E-06,0
a-165.6x-165.6,-165.6,-165.6,-6.1E-06,0
a-162x-165.6,-162,-165.6,0,0
a-158.4x-165.6,-158.4,-165.6,6.1E-06,0
