index,x,y,dx,dy
a-32.4x-172.8,-32.4,-172.8,-1.854469129,0.305431535
a-28.8x-172.8,-28.8,-172.8,-1.854871494,0.246510677
a-25.2x-172.8,-25.2,-172.8,-1.852318638,0.188609277
a-21.6x-172.8,-21.6,-172.8,-1.846489294,0.130533756
a-18x-172.8,-18,-172.8,-1.836584852,0.073415606
a-14.4x-172.8,-14.4,-172.8,-1.823790897,0.017028185
a-10.8x-172.8,-10.8,-172.8,-1.8076469,-0.038207335
a-7.2x-172.8,-7.2,-172.8,-1.788387389,-0.091677148
a-3.6x-172.8,-3.6,-172.8,-1.766234481,-0.142835351
a0x-172.8,0,-172.8,-1.7407897,-0.19255775
a3.6x-172.8,3.6,-172.8,-1.712420234,-0.240278733
a7.2x-172.8,7.2,-172.8,-1.681507402,-0.286096858
a10.8x-172.8,10.8,-172.8,-1.647581588,-0.329985685
a14.4x-172.8,14.4,-172.8,-1.612213192,-0.370698785
a18x-172.8,18,-172.8,-1.572867817,-0.407644658
a21.6x-172.8,21.6,-172.8,-1.53338021,-0.441603765
a25.2x-172.8,25.2,-172.8,-1.490989939,-0.473959267
a28.8x-172.8,28.8,-172.8,-1.447200513,-0.503026783
a32.4x-172.8,32.4,-172.8,-1.402333781,-0.528188825
a36x-172.8,36,-172.8,-1.354844417,-0.548739482
a39.6x-172.8,39.6,-172.8,-1.308371398,-0.567913973
a43.2x-172.8,43.2,-172.8,-1.258944026,-0.583281448
a46.8x-172.8,46.8,-172.8,-1.211077723,-0.5960394
a50.4x-172.8,50.4,-172.8,-1.161760965,-0.604433375
a54x-172.8,54,-172.8,-1.112560488,-0.610807881
a57.6x-172.8,57.6,-172.8,-1.064664166,-0.613241267
a61.2x-172.8,61.2,-172.8,-1.014712948,-0.611976281
a64.8x-172.8,64.8,-172.8,-0.968178917,-0.608065355
a68.4x-172.8,68.4,-172.8,-0.919715323,-0.600905391
a72x-172.8,72,-172.8,-0.873685079,-0.590092638
a75.6x-172.8,75.6,-172.8,-0.828849611,-0.576790489
a79.2x-172.8,79.2,-172.8,-0.784007306,-0.56156157
a82.8x-172.8,82.8,-172.8,-0.74321516,-0.542978488
a86.4x-172.8,86.4,-172.8,-0.699594747,-0.522872914
a90x-172.8,90,-172.8,-0.662304273,-0.499322867
a93.6x-172.8,93.6,-172.8,-0.623377211,-0.474531088
a97.2x-172.8,97.2,-172.8,-0.587974695,-0.446984485
a100.8x-172.8,100.8,-172.8,-0.555044135,-0.417833809
a104.4x-172.8,104.4,-172.8,-0.522317716,-0.38624666
a108x-172.8,108,-172.8,-0.494691446,-0.354042799
a111.6x-172.8,111.6,-172.8,-0.464073505,-0.320045776
a115.2x-172.8,115.2,-172.8,-0.442202078,-0.284683302
a118.8x-172.8,118.8,-172.8,-0.416031803,-0.247515771
a122.4x-172.8,122.4,-172.8,-0.396552972,-0.21046116
a126x-172.8,126,-172.8,-0.377604019,-0.172389631
a129.6x-172.8,129.6,-172.8,-0.359612149,-0.133307757
a133.2x-172.8,133.2,-172.8,-0.34684951,-0.093881615
a136.8x-172.8,136.8,-172.8,-0.331124233,-0.054187276
