index,cx,cy,dx,dy,newX,newY
a126x-172.8,126,-172.8,-180,0,126,-172.8
a129.6x-172.8,129.6,-172.8,-180,0,129.6000061,-172.8
a133.2x-172.8,133.2,-172.8,-180,0,133.1999969,-172.8
a136.8x-172.8,136.8,-172.8,-180,0,136.8000031,-172.8
a140.4x-172.8,140.4,-172.8,-180,0,140.3999939,-172.8
a144x-172.8,144,-172.8,-180,0,144,-172.8
a147.6x-172.8,147.6,-172.8,-180,0,147.6000061,-172.8
a151.2x-172.8,151.2,-172.8,-180,0,151.1999969,-172.8
a154.8x-172.8,154.8,-172.8,-180,0,154.8000031,-172.8
a158.4x-172.8,158.4,-172.8,-180,0,158.3999939,-172.8
a162x-172.8,162,-172.8,-180,0,162,-172.8
a165.6x-172.8,165.6,-172.8,-180,0,165.6000061,-172.8
a169.2x-172.8,169.2,-172.8,-180,0,169.1999969,-172.8
a172.8x-172.8,172.8,-172.8,-180,0,172.8000031,-172.8
a176.4x-172.8,176.4,-172.8,-180,0,176.3999939,-172.8
a-180x-169.2,-180,-169.2,-180,0,-180,-169.2
a-176.4x-169.2,-176.4,-169.2,-180,0,-176.3999939,-169.2
a-172.8x-169.2,-172.8,-169.2,-180,0,-172.8000031,-169.2
a-169.2x-169.2,-169.2,-169.2,-180,0,-169.1999969,-169.2
a-165.6x-169.2,-165.6,-169.2,-180,0,-165.6000061,-169.2
a-162x-169.2,-162,-169.2,-180,0,-162,-169.2
a-158.4x-169.2,-158.4,-169.2,-180,0,-158.3999939,-169.2
a-154.8x-169.2,-154.8,-169.2,-180,0,-154.8000031,-169.2
a-151.2x-169.2,-151.2,-169.2,-180,0,-151.1999969,-169.2
a-147.6x-169.2,-147.6,-169.2,-180,0,-147.6000061,-169.2
a-144x-169.2,-144,-169.2,-180,0,-144,-169.2
a-140.4x-169.2,-140.4,-169.2,-180,0,-140.3999939,-169.2
a-136.8x-169.2,-136.8,-169.2,-180,0,-136.8000031,-169.2
a-133.2x-169.2,-133.2,-169.2,-180,0,-133.1999969,-169.2
a-129.6x-169.2,-129.6,-169.2,-180,0,-129.6000061,-169.2
a-126x-169.2,-126,-169.2,-180,0,-126,-169.2
a-122.4x-169.2,-122.4,-169.2,-180,0,-122.4000015,-169.2
a-118.8x-169.2,-118.8,-169.2,-180,0,-118.8000031,-169.2
a-115.2x-169.2,-115.2,-169.2,-180,0,-115.1999969,-169.2
a-111.6x-169.2,-111.6,-169.2,-180,0,-111.5999985,-169.2
a-108x-169.2,-108,-169.2,-180,0,-108,-169.2
a-104.4x-169.2,-104.4,-169.2,-180,0,-104.4000015,-169.2
a-100.8x-169.2,-100.8,-169.2,-180,0,-100.8000031,-169.2
a-97.2x-169.2,-97.2,-169.2,-180,0,-97.1999969,-169.2
a-93.6x-169.2,-93.6,-169.2,-180,0,-93.5999985,-169.2
a-90x-169.2,-90,-169.2,-180,0,-90,-169.2
a-86.4x-169.2,-86.4,-169.2,-180,0,-86.4000015,-169.2
a-82.8x-169.2,-82.8,-169.2,-180,0,-82.8000031,-169.2
a-79.2x-169.2,-79.2,-169.2,-180,0,-79.1999969,-169.2
a-75.6x-169.2,-75.6,-169.2,-180,0,-75.5999985,-169.2
a-72x-169.2,-72,-169.2,-180,0,-72,-169.2
a-68.4x-169.2,-68.4,-169.2,-180,0,-68.4000015,-169.2
a-64.8x-169.2,-64.8,-169.2,-180,0,-64.8000031,-169.2
a-61.2x-169.2,-61.2,-169.2,-180,0,-61.2000008,-169.2
a-57.6x-169.2,-57.6,-169.2,-180,0,-57.5999985,-169.2
a-54x-169.2,-54,-169.2,-180,0,-54,-169.2
a-50.4x-169.2,-50.4,-169.2,-180,0,-50.4000015,-169.2
a-46.8x-169.2,-46.8,-169.2,-180,0,-46.7999992,-169.2
a-43.2x-169.2,-43.2,-169.2,-180,0,-43.2000008,-169.2
a-39.6x-169.2,-39.6,-169.2,-180,0,-39.5999985,-169.2
a-36x-169.2,-36,-169.2,-180,0,-36,-169.2
a-32.4x-169.2,-32.4,-169.2,-180,0,-32.4000015,-169.2
a-28.8x-169.2,-28.8,-169.2,-180,0,-28.7999992,-169.2
a-25.2x-169.2,-25.2,-169.2,-180,0,-25.2000008,-169.2
a-21.6x-169.2,-21.6,-169.2,-180,0,-21.6000004,-169.2
a-18x-169.2,-18,-169.2,-180,0,-18,-169.2
a-14.4x-169.2,-14.4,-169.2,-180,0,-14.3999996,-169.2
a-10.8x-169.2,-10.8,-169.2,-180,0,-10.8000002,-169.2
a-7.2x-169.2,-7.2,-169.2,-180,0,-7.1999998,-169.2
