OBJECTID,index,x,y,newX,newY
3202,a-176.4x-64.8,-176.400000000000010,-64.799999999999997,-175.2970581,-77.594992238987288
3203,a-172.8x-64.8,-172.800000000000010,-64.799999999999997,-171.7843323,-78.383658529681043
3204,a-169.2x-64.8,-169.199999999999990,-64.799999999999997,-168.2817383,-79.193494035465733
3205,a-165.6x-64.8,-165.599999999999990,-64.799999999999997,-164.7777100,-80.042458600132818
3206,a-162x-64.8,-162.000000000000000,-64.799999999999997,-161.2709656,-80.947427653095929
3207,a-158.4x-64.8,-158.400000000000010,-64.799999999999997,-157.7755127,-81.923090287947218
3208,a-154.8x-64.8,-154.800000000000010,-64.799999999999997,-154.3329010,-82.975138812868977
3209,a-151.2x-64.8,-151.199999999999990,-64.799999999999997,-151.0305786,-84.058547121032518
3210,a-147.6x-64.8,-147.599999999999990,-64.799999999999997,-147.9308014,-85.106219189942351
3211,a-144x-64.8,-144.000000000000000,-64.799999999999997,-145.0626526,-86.050293764057301
3212,a-140.4x-64.8,-140.400000000000010,-64.799999999999997,-142.3769684,-86.821234131487870
3213,a-136.8x-64.8,-136.800000000000010,-64.799999999999997,-139.7333679,-87.417602239757173
3214,a-133.2x-64.8,-133.199999999999990,-64.799999999999997,-137.0931854,-87.806124519555283
3215,a-129.6x-64.8,-129.599999999999990,-64.799999999999997,-134.4144440,-88.132977156766913
3216,a-126x-64.8,-126.000000000000000,-64.799999999999997,-131.6844025,-88.421903011673521
3217,a-122.4x-64.8,-122.400000000000010,-64.799999999999997,-128.8831024,-88.689592418409745
3218,a-118.8x-64.8,-118.800000000000000,-64.799999999999997,-126.0301819,-88.950483608059130
3219,a-115.2x-64.8,-115.200000000000000,-64.799999999999997,-123.1424789,-89.213527512536700
3220,a-111.6x-64.8,-111.599999999999990,-64.799999999999997,-120.2573547,-89.476997581441481
3221,a-108x-64.8,-108.000000000000000,-64.799999999999997,-117.4924698,-89.729946357700442
3222,a-104.4x-64.8,-104.400000000000010,-64.799999999999997,-114.9666214,-89.932957928177132
3223,a-100.8x-64.8,-100.800000000000000,-64.799999999999997,-112.5020218,-90.079155462778942
3224,a-97.2x-64.8,-97.200000000000003,-64.799999999999997,-109.9700851,-90.182837605297493
3225,a-93.6x-64.8,-93.599999999999994,-64.799999999999997,-107.1934509,-90.280834935674761
3226,a-90x-64.8,-90.000000000000000,-64.799999999999997,-104.3688812,-90.375382339662337
3227,a-86.4x-64.8,-86.400000000000006,-64.799999999999997,-101.6267929,-90.432655779400648
3228,a-82.8x-64.8,-82.799999999999997,-64.799999999999997,-99.0024338,-90.424137700723463
3229,a-79.2x-64.8,-79.200000000000003,-64.799999999999997,-96.4969406,-90.322641109280369
3230,a-75.6x-64.8,-75.599999999999994,-64.799999999999997,-93.9276810,-90.126174272704532
3231,a-72x-64.8,-72.000000000000000,-64.799999999999997,-91.1948700,-89.991875821770918
3232,a-68.4x-64.8,-68.400000000000006,-64.799999999999997,-88.2061996,-89.989922452287601
3233,a-64.8x-64.8,-64.799999999999997,-64.799999999999997,-84.8850327,-90.135842141280648
3234,a-61.2x-64.8,-61.200000000000003,-64.799999999999997,-81.5667648,-90.428500720288923
3235,a-57.6x-64.8,-57.600000000000001,-64.799999999999997,-78.2098236,-90.871314417493693
3236,a-54x-64.8,-54.000000000000000,-64.799999999999997,-74.6212997,-91.539892796389154
3237,a-50.4x-64.8,-50.399999999999999,-64.799999999999997,-70.4161301,-92.521913066670038
3238,a-46.8x-64.8,-46.799999999999997,-64.799999999999997,-65.5002518,-93.766196950438882
3239,a-43.2x-64.8,-43.200000000000003,-64.799999999999997,-60.1747475,-95.032613111499529
3240,a-39.6x-64.8,-39.600000000000001,-64.799999999999997,-54.5231400,-96.326090903657075
3241,a-36x-64.8,-36.000000000000000,-64.799999999999997,-48.6301422,-97.577366611729985
3242,a-32.4x-64.8,-32.399999999999999,-64.799999999999997,-42.8395615,-98.653931597935127
3243,a-28.8x-64.8,-28.800000000000001,-64.799999999999997,-37.5040588,-99.444133436520644
3244,a-25.2x-64.8,-25.199999999999999,-64.799999999999997,-32.8446655,-99.840195662099006
3245,a-21.6x-64.8,-21.600000000000001,-64.799999999999997,-28.5706406,-100.107141129883760
