index,cx,cy,dx,dy,newX,newY
a-162x-169.2,-162,-169.2,0,9.9476E-13,-162,-169.2
a-158.4x-169.2,-158.4,-169.2,6.1E-06,9.9476E-13,-158.3999939,-169.2
a-154.8x-169.2,-154.8,-169.2,-3.1E-06,9.9476E-13,-154.8000031,-169.2
a-151.2x-169.2,-151.2,-169.2,3.1E-06,9.9476E-13,-151.1999969,-169.2
a-147.6x-169.2,-147.6,-169.2,-6.1E-06,9.9476E-13,-147.6000061,-169.2
a-144x-169.2,-144,-169.2,0,9.9476E-13,-144,-169.2
a-140.4x-169.2,-140.4,-169.2,6.1E-06,9.9476E-13,-140.3999939,-169.2
a-136.8x-169.2,-136.8,-169.2,-3.1E-06,9.9476E-13,-136.8000031,-169.2
a-133.2x-169.2,-133.2,-169.2,3.1E-06,9.9476E-13,-133.1999969,-169.2
a-129.6x-169.2,-129.6,-169.2,-6.1E-06,9.9476E-13,-129.6000061,-169.2
a-126x-169.2,-126,-169.2,0,9.9476E-13,-126,-169.2
a-122.4x-169.2,-122.4,-169.2,-1.5E-06,9.9476E-13,-122.4000015,-169.2
a-118.8x-169.2,-118.8,-169.2,-3.1E-06,9.9476E-13,-118.8000031,-169.2
a-115.2x-169.2,-115.2,-169.2,3.1E-06,9.9476E-13,-115.1999969,-169.2
a-111.6x-169.2,-111.6,-169.2,1.5E-06,9.9476E-13,-111.5999985,-169.2
a-108x-169.2,-108,-169.2,0,9.9476E-13,-108,-169.2
a-104.4x-169.2,-104.4,-169.2,-1.5E-06,9.9476E-13,-104.4000015,-169.2
a-100.8x-169.2,-100.8,-169.2,-3.1E-06,9.9476E-13,-100.8000031,-169.2
a-97.2x-169.2,-97.2,-169.2,3.1E-06,9.9476E-13,-97.1999969,-169.2
a-93.6x-169.2,-93.6,-169.2,1.5E-06,9.9476E-13,-93.5999985,-169.2
a-90x-169.2,-90,-169.2,0,9.9476E-13,-90,-169.2
a-86.4x-169.2,-86.4,-169.2,-1.5E-06,9.9476E-13,-86.4000015,-169.2
a-82.8x-169.2,-82.8,-169.2,-3.1E-06,9.9476E-13,-82.8000031,-169.2
a-79.2x-169.2,-79.2,-169.2,3.1E-06,9.9476E-13,-79.1999969,-169.2
a-75.6x-169.2,-75.6,-169.2,1.5E-06,9.9476E-13,-75.5999985,-169.2
a-72x-169.2,-72,-169.2,0,9.9476E-13,-72,-169.2
a-68.4x-169.2,-68.4,-169.2,-1.5E-06,9.9476E-13,-68.4000015,-169.2
a-64.8x-169.2,-64.8,-169.2,-3.1E-06,9.9476E-13,-64.8000031,-169.2
a-61.2x-169.2,-61.2,-169.2,-8E-07,9.9476E-13,-61.2000008,-169.2
a-57.6x-169.2,-57.6,-169.2,1.5E-06,9.9476E-13,-57.5999985,-169.2
a-54x-169.2,-54,-169.2,0,9.9476E-13,-54,-169.2
a-50.4x-169.2,-50.4,-169.2,-1.5E-06,9.9476E-13,-50.4000015,-169.2
a-46.8x-169.2,-46.8,-169.2,8E-07,9.9476E-13,-46.7999992,-169.2
a-43.2x-169.2,-43.2,-169.2,-8E-07,9.9476E-13,-43.2000008,-169.2
a-39.6x-169.2,-39.6,-169.2,1.5E-06,9.9476E-13,-39.5999985,-169.2
a-36x-169.2,-36,-169.2,0,9.9476E-13,-36,-169.2
a-32.4x-169.2,-32.4,-169.2,-1.5E-06,9.9476E-13,-32.4000015,-169.2
