OBJECTID,index,cx,cy,x,y,dx,dy
4930,a-75.6x-3.6,-86.16359978,-22.67332798,-75.6,-3.6,-10.56359978,-19.07332798
4931,a-72x-3.6,-84.53719352,-23.91905642,-72,-3.6,-12.53719352,-20.31905642
4932,a-68.4x-3.6,-83.31230581,-24.86345859,-68.4,-3.6,-14.91230581,-21.26345859
4933,a-64.8x-3.6,-82.14512221,-25.76501112,-64.8,-3.6,-17.34512221,-22.16501112
4934,a-61.2x-3.6,-80.93141285,-26.58170687,-61.2,-3.6,-19.73141285,-22.98170687
4935,a-57.6x-3.6,-79.57299802,-27.28645783,-57.6,-3.6,-21.97299802,-23.68645783
4936,a-54x-3.6,-77.9152015,-27.88082428,-54,-3.6,-23.9152015,-24.28082428
4937,a-50.4x-3.6,-75.74301311,-28.36909783,-50.4,-3.6,-25.34301311,-24.76909783
4938,a-46.8x-3.6,-73.00539743,-28.79085322,-46.8,-3.6,-26.20539743,-25.19085322
4939,a-43.2x-3.6,-69.94857196,-29.18537265,-43.2,-3.6,-26.74857196,-25.58537265
4940,a-39.6x-3.6,-66.55595725,-29.64004029,-39.6,-3.6,-26.95595725,-26.04004029
4941,a-36x-3.6,-62.69676394,-30.27307968,-36,-3.6,-26.69676394,-26.67307968
4942,a-32.4x-3.6,-58.31164581,-31.16891967,-32.4,-3.6,-25.91164581,-27.56891967
4943,a-28.8x-3.6,-53.45677616,-32.33811922,-28.8,-3.6,-24.65677616,-28.73811922
4944,a-25.2x-3.6,-48.29202462,-33.69478235,-25.2,-3.6,-23.09202462,-30.09478235
4945,a-21.6x-3.6,-42.91753573,-35.1017062,-21.6,-3.6,-21.31753573,-31.5017062
4946,a-18x-3.6,-37.41452436,-36.45403972,-18,-3.6,-19.41452436,-32.85403972
4947,a-14.4x-3.6,-31.81420446,-37.70716664,-14.4,-3.6,-17.41420446,-34.10716664
4948,a-10.8x-3.6,-26.14252393,-38.83368188,-10.8,-3.6,-15.34252393,-35.23368188
4949,a-7.2x-3.6,-20.42404587,-39.81453628,-7.2,-3.6,-13.22404587,-36.21453628
4950,a-3.6x-3.6,-14.68657905,-40.6369335,-3.6,-3.6,-11.08657905,-37.0369335
4951,a0x-3.6,-8.97105584,-41.2962236,0,-3.6,-8.97105584,-37.6962236
4952,a3.6x-3.6,-3.389548106,-41.77968917,3.6,-3.6,-6.989548106,-38.17968917
4953,a7.2x-3.6,1.950804025,-42.15252455,7.2,-3.6,-5.249195975,-38.55252455
4954,a10.8x-3.6,7.016905627,-42.44924181,10.8,-3.6,-3.783094373,-38.84924181
4955,a14.4x-3.6,11.86005608,-42.68719679,14.4,-3.6,-2.539943923,-39.08719679
4956,a18x-3.6,16.57774634,-42.87171393,18,-3.6,-1.422253661,-39.27171393
4957,a21.6x-3.6,21.27375453,-42.99933095,21.6,-3.6,-0.326245467,-39.39933095
4958,a25.2x-3.6,26.01391427,-43.05517262,25.2,-3.6,0.813914273,-39.45517262
4959,a28.8x-3.6,30.83749608,-43.00052333,28.8,-3.6,2.037496082,-39.40052333
4960,a32.4x-3.6,35.75194936,-42.81708549,32.4,-3.6,3.351949362,-39.21708549
4961,a36x-3.6,40.78656245,-42.47321092,36,-3.6,4.786562454,-38.87321092
4962,a39.6x-3.6,45.94055734,-41.93871485,39.6,-3.6,6.340557337,-38.33871485
4963,a43.2x-3.6,51.1732956,-41.18647843,43.2,-3.6,7.973295595,-37.58647843
4964,a46.8x-3.6,56.40921885,-40.19766791,46.8,-3.6,9.609218848,-36.59766791
